translation,transliteration,charater_count
"Although I have taken nothing for my father's firm, you keep writing to me about lawsuits and expenditure. If any of the investors of your father raises claim, then I too will raise claim against you.""",ša mì-ma a-na É a-bi-a lá al-qé-ú a-na dí-tí-im ù ma-na-ah-tim ta-áš-ta-na-pá-ra-ni šu-ma i-na um-me-a-ni a-bi-ku-nu ma-ma-an i-tù-ra-am ù a-na-ku a-tù-ra-ku-nu-tí,163
2 talents 10 mina of sealed tin for your representative; plus 40 mina of bundled tin and 5 1/2 black donkey loads of Wašhaniuman carried for you from Assyria.,2 GÚ 10 ma-na AN.NA ku-nu-ku ša KI ku-a-tí a-ha-ma 40 ma-na AN.NA ri-ik-sú-um ù 5 1/2 ANŠE.HI.A ša-lá-me iš-tù a-lim{ki} Wa-áš-ha-ni-ú-maan ir-dí-a-kum,151
"I paid 15 sheaves of silver from you to Al-Belli, when he said: ""I lent it to him on the way."" If he didn't lend it to you, he will pay you 1/2 million silver.",na-du-ú-ma na-áš-ú-ni-kum 15 GÍN KÙ.BABBAR-áp-kà a-na Al-be-lí áš-qul um-ma šu-ut-ma i-na ha-ra-nim ah-bu-ul-šu-um šu-ma lá ih-bu-lá-kum 1/2 ma-na KÙ.BABBAR i-ša-qá-lá-kum,171
"<gap> and they should leave the remainder of the textiles in Hurama; if the caravan coming from Assur is held back from entering Kaneš, then truly, the Narrow Track is open.",ší-tí TÚG.HI.A i-na Hu-ra-ma le-zi-bu šu-ma ILLAT-tám a-na e-ra-bi-im ma-as-ra-at ma ha-ra-an sú-qí-nim ú-šu-ra-at,114
15 shekels of gold and 2 1/2 minas of copper is owed by Abum-ili son of Abela. 5 1/2 shekels of silver is owed by Adad-pilah son of Ahu-waqar. Witnessed by Pilah-<gap>5 minas <gap> shekels of silver is owed by Hazuwalla. 1 mina of silver belonging to me and Puzur-Ištar son of Illil-bāni is owed by Bēlu-dan and Lā-qēp. 2/3 mina of silver: Nadibum.,ra-ki-is 15 GÍN KÙ.GI 2 1/2 ma-na URUDU KI A-bu-um-DINGIR DUMU A-be-lá 5 1/2 GÍN KÙ.GI {d}IM-pí-lá-ah DUMU A-hu-qar IGI Pí-lá-ah-ŠA.ŠA 5 ma-na <gap> GÍN KÙ.BABBAR KI Ha-zu-a-lá 1 ma-na KÙ ša i-a-tí ù Puzur4-Ištar DUMU {d}AB-ba-ni KI Be-lu-dan ù Lá-qé-ep 2/3 ma-na KÙ Na-dí-bu-um,278
"To Man-mahir from Ennam-Aššur: Before your message arrived I made Ṭāb-ṣill-Aššur pay 11 talents of good copper which he owed to you, and also 3 talents 10 minas of good copper which Annina owed to you.",a-na Ma-ma-hi-ir qí-bi-ma um-ma En-nam-A-šur-ma lá-ma té-er-ta-kà i-li-kà-ni 11 GÚ URUDU SIG5 ša DÙG-ṣí-lá-A-šur ha-bu-la-ku-ni a-ha-ma 3 GÚ 10 ma-na URUDU SIG5 ša A-ni-na ha-bu-la-ku-ni ú-ša-áš-qí-il5-šu-nu,207
"Until the matter was cleared I had to stay 8 months in the interior. I went to where the textiles were, in the villages, and I got the textiles out and with great effort I brought the textiles into Wahšušana to your representatives.",a-dí a-wa-tum iz-ku-a-ni ITU.8.KAM i-na li-bi ma-tim as-hu-ur TÚG.HI-tù i-na a-lá-ni a-šar ib-ší-ú-ni a-lik-ma TÚG.HI.A ú-šé-ṣí-a-ma a-na-ah-ma TÚG.HI.A a-ṣé-er ša-zu-za-tí-kà a-na Wa-ah-šu-ša-na ú-šé-ri-ib-ma,209
" I borrowed 8 shekels of silver from the son of Abu-šalim and his partner. I still had a claim against you of 2 2/3 minas 1 1/4 shekels of silver, the proceeds from the sale of the textiles transported by Ennam-Bēlum.",8 GÍN KÙ.BABBAR iš-tí DUMU A-bu-SILIM ù tap-pá-i-šu al-qé 2 2/3 ma-na 1 1/4 GÍN KÙ.BABBAR ší-im TÚG.HI.A ša šé-ep En-nam-Be-lim i-na li-bi4-kà a-ší-tám,151
" Please, please heed the words of the gods! Do not renounce the decision that the god has drawn up for you.",a-pu-tum a-wa-at i-lí ú-ṣú-ur a-na ni-ki-iš-tim ša DINGIR i-ṣí-ra-ku-ni,71
Ask them for the interest they will charge me!,ki-ma a-na i-a-tí ṣí-ib-tám i-ma-nu-ú-nini ú a-tí mu-i-šu-nu-tí,63
"When you made the City's tablet known to me, I confirmed it.",tup-pá-am ša A-lim{ki} tù-ša-áš-me-a-ni uš-kà-in a-na tup-pì-im,63
We informed the merchants' house chamber of commerce; but the things they brought us were confiscated and they released us.,a-na-ku <gap> i-la-áp-ta É tám-kà-ri-im ni-ší ù mì-ma ša na-áš-a-ni-ni i-ṣa-áb-tù-ma ú ni-a-tí ú-ta-ší-ru-ni-a-tí,113
"Sealed by Akuza son of Šu-Anum, by Amurrum-bāni son of Manana, by Lā-qēp son of Puzur-Ištar. The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.",KIŠIB A-ku-za DUMU Šu-A-nim KIŠIB MAR.TU-ba-ni DUMU Ma-na-na KIŠIB Lá-qé-ep DUMU Puzur4-Ištar a-na a-wa-tim a-ni-a-tim kà-ru-um Kà-ni-iš{ki} i-dí-ni-a-tí-ma IGI GÍR ša A-šùr,173
"Witnessed by Abiya son of Nūr-Suen; Zuwa, the lieutenant, and Aššur-nādā, the kubtu, were their absent partners.",IGI A-bi-a DUMU Nu-ur-ZU Zu-ú-a NU.BANDA ù A-šur-na-da ku-ub-tù-um tap-pá-šu-nu,79
"In all 1/2 mina 7 1/4 shekels of silver as sureties your sister gave to you, and <gap>",ŠUNIGIN 1/2 ma-na 7 1/4 GÍN KÙ.BABBAR ša-áp-ra-tim a-ha-at-kà <gap> ta-dí-na-ku-um-ma,85
Ali-ahum will not <gap>that I write to him.,A-lá-hu-um <gap> a-ša-pu-ru-šu-ni <gap>,39
"9 shekels of silver is owed by our own Šu-Ištar, Ṣill-abum's representative; he has sent me the silver from Hanaknak.",9 GÍN KÙ.BABBAR KI Šu-Ištar ni-a-im ša ki-ma Ṣí-lá-bi4-im KÙ.BABBAR iš-tù Ha-na-ak-na-ak,88
"On Šū-Aššur, son of Ali-ahum, the priest of God Nārum, there is 10 1/2 shekels of silver from Aššur-rē'ī.",10 1/2 GÍN KÙ.BABBAR i-ṣé-er Šu-A-šur DUMU A-lá-hi-im ša Na-ri-im A-šur-SIPA i-šu iš-tù ha-muš-tim,98
"If your father Šu-Ištar does not owe, you take the 16 mina of silver that I will seal.",lá-al-qé šu-ma Šu-Ištar a-bu-kà lá i-ta-ah-ba-al 16 ma-na KÙ.BABBAR ša a-na-ku a-kà-nu-ku a-ta ta-ba-al,103
Aššur-nīšu has 5/6 mina and 5 shekels of Amurrum silver in Enna-Su'en.,5/6 ma-na 5 GÍN KÙ.BABBAR A-mu-ru-um i-ṣé-er En-na-Sú-en6 A-šùr-ni-šu i-šu iš-tù ha-mu-uš-tim,93
I am staying in Wahšušana.,kà-lá i-na Wa-ah-šu-ša-na wa-áš-ba-ku,37
Aššur-šadui and Adad-bāni said: He gave nothing but 22 kutānu-cloths.,um-ma A-šur-ša-du-i-ma ù {d}IM-ba-ni-ma a-lá-an 22 ku-ta-ni mì-ma ša-ni-a-am ú-lá i-dí-in,89
<gap><gap> Mine amounts to your silver. The remainder of your fabrics are 20 minus 1 cutanum fabrics and 8 black fabrics; they are used up for your accounting.,<gap> ma-na KU.BABBAR-ap-su-nu si-ti TUG.HI-t-ka 20 LA 1 ku-ta-nu 8 su-ru-tum a-na ni-ka-si-ka gam-ru,101
"You are my brother, as soon as it is written that the caravan can be brought in, open my ear!",a-hi a-ta i-nu-mì a-na ha-ra-nim šé-ru-bi-im i-ša-pu-ru-ni ú-ni pí-té,69
"From Alāhum to Aššur-nādā and Puzur-Anna: 20 kutānu-textiles and 1 pirikannu-textile Pithala and Watkam are bringing to you. Here Nannaya, the son of Ikuhlum, entrusted it to them. Give them each 1 1/3 shekel of silver as wages.",um-ma A-la-hu-um-ma a-na A-šùr-na-da ù Puzur4-A-na qí-bi4-ma 20 TÚG ku-ta-ni 1 pì-ri-kà-num Pì-it-ha-la ù Wa-at-kà-am na-áš-ú-ni-ku-nu-tí a-na-kam Na-na-a DUMU I-ku-ùh-li-im ip-qí-šú-nu-tí 1 1/3 GÍN.TA KÙ.BABBAR ig-ri-šu-nu,223
"Say to Buzuta: Tell Aššur-emūqī: I gave one mina of silver for the use of Aššur, son of Kuzkuzum. Seize him and weigh the silver. Also, Nuhšatum's term has expired; weigh it for him too.",um-ma Bu-zu-ta-a-a a-na A-šùr-e-mu-qí qí-bi-ma 1 ma-na KÙ.BABBAR a-na Šu-ma-li-ba-Ašùr DUMU Ku-úz-ku-zi-im a-na bé-a-lim a-dí-in ṣa-ba-sú-ma KÙ.BABBAR ša-áš-qí-il5-šu ú ša Nu-úh-ša-tim u4-mu-ša ma-al-ú ší-a-tí ša-áš-qí-il5-ší,225
You have brought me into conflict with the gentleman.,i-na pá-ni a-wi-lim tù-uš-ta-zi-zi,34
" ""Add the import duty and the transport tariff and send it to our father and Alāhum's representatives."" If you are truly my father and lord, for all the silver and gold I have sent you buy half tin of extraordinary quality and half textiles.",a-na-ku-ma ni-is-ha-tim ù ša-du-a-tám ra-dí-a-ma a-na a-bi4-ni ù ša ki-ma A-lá-hi-im šé-bi4-lá a-bi4 a-ta be-li a-ta a-na mì-ma KÙ.BABBAR ù KÙ.GI ša uš-té-bi4-lá-ku-ni mì-iš-lam5 AN.NA SIG5 wa-at-ra-am mì-iš-lam TÚG.HI.A,220
"The seal of Enna-Anum, son of Ali-abum; the seal of Kura, son of Šū-Suen; the seal of Šalim-Aššur, son of Iphurum.",KIŠIB En-na-nim DUMU A-lá-bi4-im KIŠIB Ku-ra DUMU Šu-Sú-en6 KIŠIB Ša-lim-A-šur DUMU Ip-hu-ri-im,95
"He furthermore owes me 10 minas of copper. My dear brothers, confront the colony, have him brought out so he pays the silver in accordance with this letter; he should pay to you. Zuzua brings 22 shekels of silver.",10 ma-na URUDU a-ha-ma ha-bu-lam a-hu-a-a a-tù-nu kà-ra-am mu-ùh-ra-ma šé-ṣí-a-ni-šu ú a-ma-lá ṭup-pì-im a-ni-im KÙ.BABBAR i-ša-qá-lá-am li-iš-qú-lá-ku-nu-tí KÙ.BABBAR 1/3 ma-na 2 GÍN Zu-zu-a na-ší,197
"Since I did not enter for that reason, my dear father, do not be angry. Since they bring šikku-copper and washed copper, one package after another, I have become indebted to him for favours <gap>",iš-tù a-na i-dí-im a-mì-im lá e-ru-bu a-bi a-ta mì-ma li-ba-kà lá i-lá-mì-in a-na ša URUDU ší-kam ú ma-sí-am né-pé-ša-am a-né-pé-ší-im ú-ru-ú-ni gi-mì-li a-ta-ah-bu-lu-šu-ni lá ša ší mu ni,188
You are my father; inform my kārum and let the news come here so that I may make my decision.,a-bi a-ta a-ma-kam ú-za-an kà-ri-im pé-tí-ma té-er-ta-kà li-li-kam-ma té-mì-ma lá-aṣ-ba-at,90
"Sell all the textiles that Bēlum-bāni left behind for you at any price, <gap>for copper by our own 1-mina-weight. It must not be stocked; the silver <gap>""",ma-lá Be-lúm-ba-ni e-zi-ba-ku-ni ba-tí-iq ù wa-tù-ur i-na1 ni-a-ú-tim-ma ma-na-im URUDU <gap>-<gap>1-us-ma dí-in lá i-na-dí-ú KÙ.BABBAR,135
We left your fabrics with him as you instructed.,a-ma-lá té-er-tí-kà a-šé-ri-šu ni-dí ú,38
When the silver comes out of the palace Amur-Aššur will take one third of its yield from the share of Aššur-taklāku; two-thirds he will take out of the stock of the caravan also from the share of Aššur-taklāku.,ú-ṭá-hi-i i-na wa-ṣa KÙ.BABBAR ša É.GAL-lim ša-al-ša-tim i-na qá-tim ša A-šur-ta-ak-lá-ku A-mur-A-šur i-lá-qé ší-ni-pì-e i-na mì-ší-it ILLAT-tim i-na qá-tim-ma ša A-šur-ta-ak-lá-ku i-lá-qé,188
"Aššur-imittī replied: ""Where shall I take your pledge? I will take possession of the silver or gold you gave to your brother in my presence.""",um-ma A-šùr-i-mì-tí-ma a-a-e ú-ba-al ša-pár-ta-kà i-na KÙ.BABBAR ú KÙ.GI ša ma-ah-ri-a a-na a-hi-kà ta-dí-nu qá-tí lu ša-ak-na-at,129
He will pay it within 5 weeks from the week of Aššur-rē'ī and Lā-qēp.,A-šur-SIPA i-šu iš-tù ha-muš-tim ša A-šur-SIPA ù Lá-qé-ep a-na 5 ha-am-ša-tim i-ša-qal šu-ma i-na,97
"For the silver of the merchant in Alabum's transportation,",úz-a-kum a-na KÙ.BABBAR ša DAM.GÀR ša šé-ep A-lá-bi4im,54
"If he does not pay, he will add one and a half shekels interest to 1 mina per month.",i-ša-qal šu-ma la iš-qúl 1 1/2 GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ú-ṣa-áb,77
"To Innaya from Elali. Since I arrived, Iddin-Kubum and his company, the ten-man board of Hahhum, and I myself — we have repeatedly gone up to the palace but the nobles keep answering us in the same way. There! Copies of the oath that they offer to us have been written for the colony. After we agreed with them on a settlement the men changed their minds. The king has committed a bloody deed and his throne is blemished. The agreements are suspended. The nobles keep watching each other.",a-na I-na-a qí-bi-ma um-ma E-lá-lí-ma iš-tù a-li-kà-ni I-dí-Ku-bu-um ù ILLAT-sú 10-tum ša Ha-hi-im ù a-na-ku a-na É.GAL-lim né-ta-na-li-ma ru-ba-ú ki-ma i-ta-pu-lim i-ta-na-pu-lu-ni-a-tí a-ma me-eh-ra-at ma-mì-tim ša ú-kà i-lu-ni-a-tí-ni a-na kà-ri-im lá-pu-ta-nim ù ší-ki-tám ni-im-gu5-ur-šu-nu-ma a-wi-lu-ú i-ta-ba-al-ku-tù LUGAL da-me e-ta-pá-áš-ma ku-sí-šu lá ta-aq-na-at ší-ik-na-tum a-hu-ra ru-ba-ú i-na ba-ri-šu-nu i-ta-ṭù-lu,432
Its silver equivalent is 56 5/6 minas 2 shekels of purified silver at 6 1/3 shekels each.,AN.NA iz-ku 6 1/3 GÍN.TA KÙ.BABBAR-áp-šu 56 5/6 ma-na 2 GÍN KÙ.BABBAR iz-ku 26 ma-na KÙ.BABBAR ù,96
He will pay the remaining 12 shekels of silver in the following year and take the tablet.,i-na ša-tim 12 GIN KÙ.BABBAR i-ša-qal-ma ù DUB i-lá-qé šu-ma i-na,65
"If our textiles have arrived safely and entered the city, pay 3 shekels of silver to two hired men out of the proceeds from the wool, and give the rest of the silver to Šalim-bēlī and his partner and indicate to me how much silver they have received.",šu-ma ṣú-ba-tù-ni iš-li-mu-ni-ma e-ru-bu-nim i-na ší-im ša-áp-tí-im a-na ší-na ag-ri 3 GÍN KÙ.BABBAR šu-uq-lá-ma ší-tí KÙ.BABBAR KÙ.BABBAR a-na Ša-lim-bé-lí ù tap-pá-i-šu dí-ma KÙ.BABBAR ma-lá il5-qé-ú-ni wa-di-a-nim,216
"Ikūppīa says to Uṣur-ši-Ištar: When I captured Su'en-rē'ī in Tamnia, I said: Write to his representative and tell them to give me the copper.",a-dí ša Sú-en6-re-i i-na Ta-am-ni-a aṣ-ba-sú-ma um-ma a-na-ku-ma ṭup-pá-am a-na a-na-ku-ma ṭup-pá-am a-na ša ki-ma ku-a-tí lá-pì-it-ma URUDU li-dí-nu-nim,153
"For the rumours I keep hearing, for these matters god be my witness against Alpilī! He said to your maid: 'There is no <gap>available. Of the two <gap>Kuliya will marry one as a fine wife.",im-ra-aṣ a-na a-wa-tim ša a-áš-ta-me-ú a-na a-wa-tim a-ni-a-tim DINGIR lu i-dé a-na Al-pì-lí um-ma šu-ut-ma a-na am-tí-kà-ma <gap> lá i-ba-ší i-na <gap>2-ší-ta a-ša-tám da-mì-iq-tám Ku-li-a,189
"In the presence of Kalulu,",IGI Kà-lu-lu,12
"Month mahhur-ilī, eponym of Puzur-Nirah. Before Susaya, before Ṣillī-Ishtar, before Aššur-malik.",ú-ṣa-áb ITU.KAM ma-hu-ur-ì-lí li-mu-um Puzur4-Ni-ra-ah IGI Sú-sà-a IGI Ší-li-Ištar IGI A-šur-ma-lik,99
<gap>I gave you <gap>fine textiles in Hurama.,a-dí-in <gap>TÚG SIG5 i-na <gap> Hu-ra-ma,41
"To Ali-ahum from Amur-Ištar: Concerning Huma about whom I wrote to you, my terms for starting a legal case have one month to run, but you keep sending me a copy of my witnessed tablet.",a-na A-lá-hi-im qí-bi-ma um-ma A-mur-Ištar-ma a-di Hu-ma ša áš-pu-ra-ku-ni u4-mu-a ITI.1.KAM a-na a-wa-tim ta-da-nim a-hu-ru-ú ú me-eh-ra-am ša ší-bi-a ta-áš-ta-na-pá-ra-am,172
If they will pay<gap>,i-ta kà lu ma šu-ma lá i-dam <gap>nu-ma i-za <gap>ma ša a <gap>bu <gap>i-ša-qú-lu,81
"As for the copper about which you gave me instructions, I was feeble and did not dispatch the wagons on the day I entered.",a-dí URUDU ša tù-na-hi-dí-ni ma-ú-qá-ku-ma i-na ša-am-ší e-ru-bu e-ri-qá-tim ú-lá a-bu-uk,89
"The silver for 80 good, excellent fabrics, upon which a tablet of the Kārum was written and which is in the house of Inna'a, son of Elali—seize your hand, and then let the silver of this tablet and the interest on it be paid.",ša 80 TÚG.HI.A SIG5 DIRI ša ṭup-pu-um ša kà-ri-im i-li-ip-tù-ma É I-na-a-a DUMU E-lá-lí i-ba-ší-ú qá-at-kà li-iṣ-ba-at-ma KÙ.BABBAR ù ṣí-ba-sú ša ṭup-pí-im šu-a-tí ša-áš-qí-il5 ù ša 20 TÚG.HI.A SIG5 DIRI,203
Perua is owed 6 2/3 shekels and 15 uṭṭet of silver from Kazaza.,6 2/3 GIN 15 ŠE KÙ.BABBAR i-šé-er Kà-za-za Pé-ru-a i-šu iš-tù,61
Out of the textiles take those of lesser quality and deposit them as my share on my account.,ma-dam il5-té-qé i-na TÚG.HI.A ma-aṭ-ú-tim le-eq-a-ma a-na ni-kà-sí-a,69
"This allocation document is a copy of the enveloped tablet concerning the debt of Libbaya, son of Uzua.",ta-ah-sí-is-tum a-ni-tum me-eh-ra-at ṭup-pí-im ha-ar-mì-im ša hu-bu-ul Li-ba-a-a DUMU Ú-zu-a,92
To Amur-Ištar and Aššur-nādā from Ilī-ālum: To Aššur-nādā: I sent you 2 minas of silver with Ennānum's slave.,a-na A-mur-Ištar ù A-šùr-na-da qí-bi4-ma um-ma Ì-lí-a-lúm-ma a-na A-šùr-na-da qí-bi4-ma 2 ma-na KÙ.BABBAR ÌR ša En-na-nim ú-šé-bi4-lá-kum,137
"Four minas and ten shekels of silver from Aduda, sealed with the seal of my representative, are on me, and also five minas minus three shekels of silver, sealed with the seal of Habuašu, are on me.",4 ma-na 10 GÍN KÙ.BABBAR ša A-du-dá ku-nu-uk ša ki-ma i-a-tí a-na šé-ri-a a-ha-ma 5 ma-na lá 3 GÍN ku-nu-ku ša Ha-bu-a-šu a-ṣe-ri-a-ma,134
"5/6 mina of 2 shekels of purified silver is owed to Hunnīya through Batāya, son of Lā-qēpum.",KIŠIB Ba-ta-a DUMU Lá-qé-pì-im / 5/6 ma-na 2 GÍN KÙ.BABBAR ša-ru-pá-am i-ṣé-er Ba-ta-a DUMU Lá-qé-pì-im Hu-ni-a i-šu iš-tù ITU.KAM ma-hu-ur-DINGIR,146
"To Imdīlum and Idnāya, as follows: Aššur-imitti; to Imdīlum: 2/3 minas 5 shekels silver in equivalents I gave you in Ulama.",a-na Im-dí-lim ù Id-na-a qí-bi4-ma um-ma A-šur-i-mì-tí-ma a-na Im-dí-lim qí-bi4-ma 2/3 ma-na 5 GÍN KÙ.BABBAR me-hi-ra-tim i-na Ú-lá-ma a-dí-na-kum,146
"9 talents <gap>Hinnaya's son, 2 talents 40 +<gap> minas Šu-Kūbum'un, 1 1/2 talents 4 minas Šamaš-bāni's son <gap> talents 35 minas Aššur-ṭāb's, <gap>+0 1 talent 45 minas Buzi 9 talents of Aśur-imittī'in, 1 talent 30 minas of the son of Lā-qēp'in.",9 GÚ <gap>DUMU Hi-na-a 2 GÚ 40 + <gap> ma-na Šu-Ku-bu-um 1 1/2 GÚ 4 ma-na DUMU {d}UTU-ba-ni <gap> GÚ 35 ma-na A-šur-DÙG <gap>+ 1 GÚ 40 ma-na Bu-zi-a 9 GÚ 35 ma-na A-šur-i-mì-tí 1 GÚ 30 ma-na DUMU Lá-qé-ep,204
"The silver belongs to Elamma. 10 minas of silver, its excise added, his transport fee paid for, belonging to Elamma, Ali-ahum entrusted to Ali-abum and he brought it to Ali-abum!, Šuli and Erra-ilī.",ú-bi4-il5 KÙ.BABBAR ša E-lá-ma 10 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu ša E-lá-ma A-lá-hu-um a-na A-lá-bi4-im ip-qí-id-ma a-na A-lá-bi(HI)-im Šu-lí ú Èr-ra-ili5 ú-bi4-il5,183
You carried it to Assyria.,a-na a-lim{ki} tù-bi-il5 šu,27
They will deliver the timber to Azu within three months.,a-na ITI.3.KAM e-ṣa-tim a-na A-zu-ú i-du-nu,43
"If anyone knows about the verdict of the colony and yet remits my brother's blood-money or indeed carries out his wishes, then make it known in a tablet of the City, namely that he has remitted the blood-money and again has carried out his wishes.",i-za-az šu-ma dí-in kà-ri-im i-de8-ma da-me a-hi-a ik-bu-ús-ma ù a-na e-ri-iš-tí-šu i-zi-iz i-na ṭup-pì-im ša A-lim{ki} wa-dí-a-nim ki-ma da-me ik-bu-sú ù i-tù-ru-ma a-na e-ri-iš-tí-šu,184
"As follows, Šu-hubur, Shalim-ahum, Aššur-bani, and Shalim-Aššur, to Pu-kun: The houses of Kulumum, son of Šu-Su'en, son of Ilī-malik, which are next to the house of Buzāzu, we took for you for 4 minas minus 3 silver. Send the silver.",um-ma Šu-Hu-bur Ša-lim-a-hu-um A-šur-ba-ni ù Ša-lim-A-šur-ma a-na Pu-šu-ke-en6 qí-bi-ma bé-tí ša Ku-lu-mì-im DUMU Šu-Sú-en6 DUMU DINGIR-ma-lik ša té-hi É Bu-za-zu a-na 4 ma-na LÁ 9 GÍN KÙ.BABBAR ni-il5-qé-a-kum KÙ.BABBAR šé-bi-lam,230
Enlil-bāni says: Tell Ali-ahum!,um-ma {d}En-líl-ba-ni-ma a-na A-lá-hi-im qí-bi4-ma,50
Peruwa bought Lamassī from her husband Taliya.,Lá-ma-sí iš-tí Ta-li-a mu-tí-ša Pè-ru-wa iš-am-ší,49
"1/2 mina of silver for Iddin-Aššur; 1 2/3 mina of silver for Ah-šalim, of which 1/3 mina is for Luzi, the slave of Ali-ahum; 1/3 mina for Kudādum, the harnesser of Aššur-mālik.",1/2 ma-na KÙ.BABBAR a-na I-dí-A-šur 1 2/3 ma-na KÙ.BABBAR a-na Ah-ša-lim ŠÀ.BA 1/3 ma-na a-na Lu-zi ÌR ša A-lá-hi-im 1/3 ma-na a-na Ku-da-dim kà-ṣa-ar A-šur-ma-lik,163
<gap>he carried out his wishes. Later the colony dispatched Damiq-pī-Aššur as envoy and he rejected the wishes of the colony and accepted Itūr-ilī's wishes;,a-na e-ri-iš-tí-šu i-té-zi-iz wa-ar-ki-tám kà-ru-um SIG5-pí-A-šur a-na ší-ip-ru-tim iš-pu-ur-ma e-ri-iš-tí kà-ri-im ú-ta-er-ma e-ri-iš-tí I-tur4-DINGIR,151
"Witnesses: Šu-Bēlum, son of Šalim-Aššur; witnesses: Kapadum, son of Aššur-rābi; witnesses: Puzur-ena, son of Ennum-Aššur; witnesses: Aššur-malik, son of Aššur-taklāku.",IGI Šu-Be-lim DUMU Šál-ma-A-šur IGI Kà-pá-dim DUMU A-šur-GAL IGI Puzur4-e-na DUMU En-um-Ašur IGI A-šùr-ma-lik DUMU A-šùr-ta-ak-lá-ku i-ša-am-ší KÙ.BABBAR ki-ma,159
"Whether it was cloth, tin, or copper that Uṣur-ša-Ištar gave him, he should give silver to Ikuppīya for it.",áš-qúl lu TÚG.HI.A lu AN.NA lu URUDU ša Ú-ṣú-ur-ša-Ištar e-zi-bu-šu-ni KÙ.BABBAR a-na I-ku-pì-a li-dí-in,104
"Also your offering is 25 pieces of kutānum cloth, 1 black donkey;",a-ha-ma 25 ku-ta-nu ša ik-ri-bi4-kà 1 ANŠE ša-lá-mu-um,54
"They deposited the textiles before me. Please my father, my lord, they must not cheat me! Let a message of yours come here so that they give me the price of the textiles, then I will leave.",TÚG a-pá-ni-a i-dí-ú-šu-nu a-bi a-ta be-lí a-ta lá ú-nu-ú-ni té-er-ta-kà li-li-kam-ma ší-im TÚG.HI.A li-dí-nu-nim-ma lá-tal-kam,127
The son of Puzur-šadue has gone to Assyria.,DUMU Puzur4-ša-DU a-na a-lim{ki} i-ta-lá-ak a-ša-me-ma,54
"The seal of Arawarhumena, son of Buluta.",KIŠIB A-ra-wa-ar-hu-me-na DUMU Bu-lu-ta,39
1/3 mina of <gap>and 2 kutānus Itūr-ili has<gap>to Ennam-Aššur.,1/3 ma-na ší-kà-tám ù 2 ku-ta-ni I-tur4-DINGIR a-na En-um-A-šur,63
"My dear father and lord, do inform me with respect to Ennam-Aššur.",e-pu-lá-ni a-bi4 a-ta be-li a-ta a-dí En-um-A-šùr úz-ni pè-té,61
"The seal of Lulu, son of Azumei;",KIŠIB Lu-lu-ú DUMU A-zu-me-i,28
<gap>Perua <gap>3 mina of silver and <gap>,i-du-ku-šu Pè-ru-a lá i-3 ma-na KÙ.BABBAR ú i-i-<gap>-,54
"If he does not pay within this period, he will add 1 1/2 shekels per month according to the ruling of the Kārum.",ší-tí KÙ.BABBAR a-na 20 ha-am-ša-tim i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im 1 1/2 GÍN.TA i-na ITI.KAM,110
"To Ennānum, Aššur-bāni and Ali-ahum from Bēlum-bāni: Concerning the tin I wrote to you about, where I said: ""Give the tin to Bēlānum and let Bēlānum bring it,"" Bēlānum travels here together with us.",a-na En-na-nim A-šur-ba-ni ù A-lá-hi-im qí-bi4-ma um-ma Bé-lúm-ba-ni-ma a-šu-mì AN.NA ša áš-pu-ra-ku-nu-tí-ni um-ma a-na-ku-ma AN.NA a-na Be-lá-nim dí-na-ma Be-lá-nu-um lu-ub-lam a-na-kam Be-lá-num ha-ra-šu,206
Tell Lipit-Ištar! Ikūppīya says: About the man I spoke to you about. You know that young man.,a-na Li-ip-tí-Ištar qí-bi-ma um-ma I-ku-pì-a-ma a-šu-mì a-wi-lam ša a-ta-waku-ni eṭ-lá-am a-ta tí-dí-šu,103
"Do not say, ""He will satisfy me,"" when there is certainly nothing!",e ta-aq-bi um-ma a-ta-ma ú-ša-ba-a-ni ù wa-dí mì-ma-ma lá-šu,60
"Send me donkeys, bags, their harness and wagons.",ANŠE.HI.A i-lá-tim ú-nu-sú-nu ù e-ri-qá-tim ṭur4-da-am,54
"Aššur-taklaku son of Kartaya leads 2 talents of tin and 11 textiles on one black donkey to you. He did not enter Kaneš, but from Zalpa he went via the Narrow Track.",2 GÚ AN.NA ù 11 TÚG.HI.A 1 ANŠE ṣa-lá-ma-am A-šur-ta-ak-lá-ku DUMU Kà-ar-ta-a i-ra-de8-a-ku a-na Kà-ni-ìš ú-lá e-ru-ba-am iš-tù Za-al-pá ha-ra-an sú-qá-ni-ma i-ta-lá-ak,168
"Where Ilī-bani left the device, the goods <gap>",a-šar ú-nu-tám <gap>DINGIR-ba-ni i-ma-<gap>e-zi-bu lu-qú-tám <gap>,66
